"pid7","pid_partylean","group_colprofs","imp_schteach","votereg","education_importance","feeling_college_professors","party"
"Not very strong Democrat","inapplicable, legitimate skip","100","Not at all important","Yes",1,100,"Democrat"
"Not very strong Republican","Closer to the Republican Party","not asked","Extremely important","No",5,NA,"Republican"
"Not very strong Democrat","inapplicable, legitimate skip","52","Very important","Yes",4,52,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","34","Very important","Yes",4,34,"Democrat"
"Lean Republican","Closer to the Republican Party","30","Extremely important","Yes",5,30,"Republican"
"Lean Democrat","Closer to the Democratic Party","85","Extremely important","No",5,85,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","79","Very important","Yes",4,79,"Democrat"
"Strong Republican","inapplicable, legitimate skip","100","Very important","Yes",4,100,"Republican"
"Lean Republican","Closer to the Republican Party","0","Extremely important","No",5,0,"Republican"
"Strong Democrat","inapplicable, legitimate skip","81","Very important","Yes",4,81,"Democrat"
"Lean Republican","Closer to the Republican Party","53","Extremely important","Yes",5,53,"Republican"
"Strong Republican","inapplicable, legitimate skip","15","Extremely important","Yes",5,15,"Republican"
"Strong Democrat","inapplicable, legitimate skip","86","Extremely important","Yes",5,86,"Democrat"
"Lean Republican","Closer to the Republican Party","20","Moderately important","Yes",3,20,"Republican"
"Strong Republican","inapplicable, legitimate skip","14","Moderately important","Yes",3,14,"Republican"
"Strong Democrat","inapplicable, legitimate skip","82","Moderately important","Yes",3,82,"Democrat"
"Strong Republican","inapplicable, legitimate skip","53","Extremely important","Yes",5,53,"Republican"
"Not very strong Republican","inapplicable, legitimate skip","18","Extremely important","Yes",5,18,"Republican"
"Independent","Closer to the Democratic Party","70","Moderately important","Yes",3,70,"Democrat"
"Strong Republican","inapplicable, legitimate skip","68","Very important","No",4,68,"Republican"
"Strong Republican","inapplicable, legitimate skip","16","Very important","Yes",4,16,"Republican"
"Strong Republican","inapplicable, legitimate skip","10","Extremely important","Yes",5,10,"Republican"
"Strong Democrat","inapplicable, legitimate skip","65","Very important","Yes",4,65,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","45","Very important","Yes",4,45,"Democrat"
"Not very strong Republican","inapplicable, legitimate skip","2","Moderately important","Yes",3,2,"Republican"
"Not very strong Republican","inapplicable, legitimate skip","40","Very important","Yes",4,40,"Republican"
"Strong Democrat","inapplicable, legitimate skip","61","Very important","Yes",4,61,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","71","Very important","Yes",4,71,"Democrat"
"Strong Republican","inapplicable, legitimate skip","66","Very important","Yes",4,66,"Republican"
"Strong Republican","inapplicable, legitimate skip","not asked","Very important","Yes",4,NA,"Republican"
